Nama_Resep,Bahan_Bahan,Cara_Membuat,Jenis_Resep,Bahan_1,Bahan_2,Bahan_3,Bahan_4,Bahan_5
oseng jamur tiram tahu telur,1 bungkus jamur tiram--1 buah tahu--2 butir telur ayam--2 siung bawang putih--6 siung bawang merah--2 buah cabe merah besar--5 buah cabe rawit (jika ingin lebih pedas bisa ditambahkan lagi)--Secukupnya merica bubuk--1 sdt garam--1 sdt kaldu jamur (boleh pake kaldu yang lain)--1 sct kecap (saya pake kecap abc yg kecil)--secukupnya Air--,"Potong tahu menjadi kotak-kotak ukuran kecil. Kemudian goreng hingga garing--Sambil menunggu tahu matang, suir-suir jamur tiram kemudian cuci bersih, tiriskan--Bila tahu sudah matang, angkat dan tiriskan. Kemudian goreng 2 butir telur lalu di orak arik hingga hancur dan matang. Angkat dan tiriskan--Tumis bawang merah, bawang putih dan cabe dengan sedikit minyak sampai harum, masukkan sedikit air, kecap kemudian tunggu hingga mendidih.--Bila air sudah mendidih masukkan jamur, tahu, telur, aduk hingga tercampur rata.--Tambahkan garam, kaldu, merica bubuk. Kemudian koreksi rasa.--Tunggu beberapa menit agar matang sempurna.--Menu siap dihidangkan--",telur,jamur,telur,tahu,bawang putih,bawang merah
oseng kacang panjang kubis dan tempe simple,Kacang panjang--Kol--1/4 papan tempe--5 siung bawang merah--2 buah cabe merah kriting--6 buah cabe rawit setan--2 cm lengkuas geprek--1 lembar daun salam--secukupnya Garam--secukupnya Penyedap rasa (Sasa)--1/2 sdt terasi--Minyak untuk menumis--,"Potong kacang panjang,tempe,kol, kira2 sepanjang 2 cm--Cuci bersih kacang panjang dan kol--Iris bawang putih,bawang merah,cabe merah kriting,cabe rawit--Panaskan minyak secukupnya,tumis bumbu2 sampai harum,masukkan daun salam dan lengkuas--Lalu masukkan tempe masak hingga setengah matang lalu masukkan kacang panjang dan kol,masukkan garam dan sasa serta terasi--Masak sebentar jangan terlalu lama biar masih terasa kriuk...--Test rasa dan angkat...--Tumis kacang panjang,kol,tempe siap disajikan--",tempe,kacang panjang,kubis,tempe,bawang merah,cabai
oseng kacang wortel udang,Kacang panjang 5 lanjar--1 buah Wortel ukuran besar--1/4 udang--4 buah Bawang putih--4 buah Bawang merah--7 buah Cabe merah--Kecap--Garam--Gula--Air--,"Potong2 kacang panjang, kupas dan potong2 wortel kemudian cuci bersih--Bersihkan udang dan cuci bersih--Potong2 bawang putih, merah dan cabai--Panaskan minyak, tumis bawang merah putih, setelah harum masulan cabe merah--Masukan kacang panjang, wortel dan udang--Tambahkan air sedikit, kemudian garam, gula, kecap--Cek rasa dan kematangan. Lalu siap dihidangkan--",udang,kacang panjang,wortel,udang,bawang putih,bawang merah
oseng kuah udang sayur,1/2 kg udang--Buncis--Kol--Kentang--Daun bawang--Cabe merah kriting--Tomat--Daun bawang--Bawang merah--Bawang putih--Saori saos tiram--Minyak goreng--,"Bersihkan udang buang kepalanya--Iris sayuran buncis, kol, kentang--Iris bawang merah, bawang putih, tomat, cabe merah kriting, daun bawang--Panaskan minyak lalu tumis bawang merah bawang putih tomat cabe daun bawang--Lalu masukan sayuran dan udangnya--Setelah harum lalu masukan saori saus tiramnya, rasa sesuai selera ya--",udang,udang,buncis,kubis,kentang,tomat
oseng orak arik tempe worken,1 biji Kentang--2 biji Wortel uk sedang--1 papan Tempe--4 Bawang putih--3 Bawang merah--Gula putih/merah (sesuai selera)--Kecap manis--Garam/royco--Merica--,Kupas kentang wortel lalu cuci bersih--Rebus keduanya supaya tdk keras saat ditumis lalu potong2 uk dadu tempe potong2 uk dadu n goreng sebentar--Uleg bumbu2 sprti bawang m/p merica garam gula--Tumis bumbu2 tunggu hingga harum lalu masukan smua sayuran&bahan2 beri kecap n tambahkan royco tunggu hingga matang dan sajikan... selamat mencoba--,tempe,kentang,wortel,tempe,bawang putih,bawang merah
oseng oseng tahu tempe kacang panjang sederhana,Kacang Panjang (potong sesuai selera)--Tahu (potong dadu)--Tempe (potong dadu)--5 Bawang Merah (iris tipis)--3 Bawang Putih (iris tipis)--2 cm Laos (geprek)--sesuai selera Garam--sesuai selera Gula--sesuai selera Kecap Manis--Penyedap Rasa (bila suka)--sesuai selera Cabe rawit--sesuai selera Cabe Merah--Secukupnya Air--Minyak Goreng untuk menumis--,"Cuci bersih terlebih dahulu kacang panjang,sisihkan. Goreng tahu dan tempe (Jangan terlalu kering). Kemudian angkat dan sisihkan.--Tumis bawang merah dan bawang putih sampai harum,lalu masukkan cabe rawit,cabe merah,dan laos. Setelah matang tambahkan air secukupnya,garam,gula,kecap dan penyedap rasa,lalu tes rasa.--Kemudian masukkan kacang panjang,biarkan sebentar sampai kacang panjang sedikit lembek,jika sudah lalu masukkan tahu dan tempe. Masak sampai meresap dan angkat.--",tempe,tahu,tempe,kacang panjang,bawang merah,bawang putih
oseng oseng tempe kacang panjang,"1/2 papan Tempe--5 lonjor Kacang Panjang--10 Cabe--5 siung Bawang Merah--2 siung Bawang Putih--1/2 buah Tomat--1/2 sdt Garam--Secukupnya Kecap Manis, Penyedap Rasa & Air--","Potong2 tempe & kacang panjang. Iris2 bumbunya.--Siapkan teplon & minyak.. goreng tempe..angkat.--Kemudian tumis bumbu masukan kacang panjang lalu ksh air, garam, penyedap.. stlh kacang panjang setengah mateng masukan tempe.. ksh kecap, aduk2 sampe rata dan bumbu menyerap.--Test Rasa.. Angka.. sajikan..--",tempe,tempe,kacang panjang,cabai,bawang merah,bawang putih
oseng pare telur,"2 buah pare sedang,iris--2 butir telor--secukupnya Garam--2 siung bawang putih,iris--2 siung bawang merah,iris--2 buah cabe merah besar,iris--3 sdm minyak goreng--150 ml air--","Remas-remas pare yg sdh diris dg garam (mengurangi rasa pahit) kemudian cuci bersih,tiriskan--Tumis irisan bawang merah,bawang putih,dn cabe merah besar--Masukan pare,aduk-aduk hingga merata kemudian tambahkan air--Masukn garam,icip rasa sesuai selera--Bila air sudah sisa sedikit,masukan 2 butir telur aduk-aduk hingga telur dn pare matang--Oseng pare telur siap dsajikan--",telur,pare,telur,cabai,bawang putih,bawang merah
oseng pare tempe udang kecepe tidak pahit,"1 buah pare besar dipotong kecil2 (beri garam diremas2 lalu cuci bersih, ulangi sekali lagi diremas hingga pare layu diamkan sebentar lalu dicuci bersih)--2 sdm udang kecepe--1/3 papan tempe iris korek api--5 butir bawang merah iris--2 siung bawang putih iris--5 buah cabe merah potong serong--5 buah cabe rawit potong serong--2 helai daun salam--1 ruas lengkuas keprek--Garam dan Gula--","Goreng udang kecepe hingga agak kering, sisihkan, Goreng tempe lalu sisihkan--Gunakan minyak bekas goreng udang kecepe lalu masukkan bawang merah, bawang putih, daun salam, lengkuas, cabe merah dan rawit, tumis hingga layu--Masukkan pare, beri garam dan gula, masak hingga pare matang, terakhir masukkan udang kecepe dan tempe yg sdh digoreng aduk rata, koreksi rasa, angkat sajikan.--",tempe,pare,udang,tempe,bawang merah,bawang putih
oseng sawi hijau dadu tempe,2 ikat sawi hijau--1/2 tempe--5 bh cabe keriting--2 siung bawang merah--1 siung bawang putih--secukupnya Garam--secukupnya Penyedap rasa--secukupnya Gula merah--secukupnya Air--secukupnya Kecap--,"Potong sawi hijau menjadi ukuran yang lebih kecil, cuci bersih.--Potong tempe menjadi dadu.--Iris bawang merah, bawang putih, cabe keriting, gula merah.--Siapkan wajan, beri minyak sedikit untuk menumis--Setelah minyak panas, lalu masukan bumbu yang sudah diiris tadi. Tumis sampai harum--Masukkan tempe yang sudah dipotong dadu. Biarkan sampai agak matang.--Masukkan garam dan penyedap rasa, serta gula merah.--Tambahkan air secukupnya--Masukkan sawi ijo. Biarkan sesaat. Sampai sawi menjadi sedikit layu (matang). Lalu koreksi rasa.--Siap dihidangkan--",tempe,sawi,tempe,cabai,bawang merah,bawang putih
oseng sawi wortel tempe gembus terong dan tauge,Sawi hijau--Wortel--Taoge--Tempe gembus--Terong--Taoge--Gula--Garam--Penyedap--Kecap manis--Saos tiram--Bumbu irisan :--3 Bawang putih--5 Bawang merah--1 Bawang bombay--2 Cabe merah--2 Cabe rawit--Di geprek :--1 jempol Laos--,"Tumis semua bumbu--Masukkan wortel--Masukkan terong--Selanjutnya masukkan sawi, tempe gembus dan taoge--Aduk sampai rata dan matang--Cek rasa dan sajikan--",tempe,sawi,wortel,tauge,tempe,terong
oseng tahu tempe,1 tempe kotak--1 tahu kotak--7 cabe rawit--4 siung bawang merah--2 siung bawang putih--2 sdt gula--2 sdt garam--1 lembar daun salam--1 lengkuas--Kecap--Royco--Minyak--,"Goreng setengah matang tempe dan tahu--Iris2 cabe dan bawang, serta geprek lengkuas--Tumis cabe, bawang, daun salam, dan gula garam, lengkuas--Masukkan tahu tempenya serta kecap, aduk rata dan tambahkan sedikit air--Sajikan oseng tahu tempe dgn nasi putih hangat--",tempe,tempe,tahu,cabai,bawang merah,bawang putih
oseng tauge telur orak arik tokubisan,2 bungkus tauge/cambah/tokolan--3 siung bawang putih q geprek--4 siung bawang merah q iris--4 buah cabai rawit q iris lebih pedes lebih enak�--1 butir telur--Secukupnya daun bawang--Secukupnya penyedap (q biasa pke kobe bumbu nasgor)--Secukupnya garam--Secukupnya minyak untuk menumis--,"Panaskan minyak masukkan telur di orak arik stelah matang sisihkan telur--Tumis bawang putih,bawang merah dan cabai sampai layu dan harum--Stelah harum masukan taugenya lalu tambahkan garam,penyedap setelah tauge layu masukkan telur dan daun bawang tumis sebentar lalu angkat.....--Sajikan bersama nasi hangat--",telur,tauge,telur,cabai,bawang merah,bawang putih
oseng telur buncis sosis,"3 buah bawang merah--3 buah bawang putih--2 buah cabe--sedikit Jahe--2 butir telur--3 buah Sosis--1/4 kg buncis--Pedes bubuk--sedikit Garam, penyedap dan gula--","Blender atau ulek duo bawang--Sambil blender, potong2 buncis dan sosis sesuai selera, lalu bersihkan dan tiriskan--Potong2 cabai--Panaskan minyak di wajan--Orak arik telur lalu sisihkan--Oseng duo bawang + irisan cabe, dan jahe tumis sampai harum--Masukan buncis dan sosis--Masukkan orak arik telur--Beri sedikit air, dan lada bubuk garam penyedap serta sedikit gula--Tutup, diamkan 15 menit dengan api sedang, tes rasa--Siap dihidangkan--",telur,telur,buncis,sosis,bawang merah,cabai
oseng tempe,2 papan tempe yang ukuran kecil--1/2 ikat kacang panjang--3 bh cabe keriting--3 siung bawang putih--5 bh bawang merah--1 bh tomat--2 lembar daun salam--Secukupnya garam dan penyedap--,"Potong tempe kotak2 lalu goreng sampai kekuningan..jangan terlalu kering (keras)--Tumis bumbu iris hingga harum, masukkan kacang panjangvyang sudah dipotong2, tambahkan sedikit air--Stelah kacang panjang agak layu, masukkan tempe yang sudah digoreng tadi. Tambahkan garam dan penyedap. Tes rasa. Angkat dan siap disajikan--",tempe,tempe,kacang panjang,cabai,bawang putih,bawang merah
oseng tempe buncis pedas saus teriyaki,"1/2 Bagian Tempe plastikan, potong dadu--10 buah Buncis, potong2 kira2 Panjang 2 cm--4 siung bawang Merah, rajang--1 buah bawang putih, geprek, cincang kasar--1 buah cabe hijau Besar, iris kira2 tebal 0,5 cm--5 buah cabe Rawit Merah, iris menyerong--2 sdm minyak wijen--2 sdm saus Teriyaki homemade--Secukupnya garam--Secukupnya Gula--Secukupnya Lada bubuk--Secukupnya minyak goreng--Secukupnya air matang--Sedikit biji wijen--","Goreng tempe yag sudah dipotong dadu dengan minyak goreng sampai kuning keemasan, angkat, sisihkan.--Tumis bawang merah, bawang putih dengan minyak wijen, sampai harum dan bawang layu.--Masukkan saus teriyaki tambahkan air, aduk rata.--Tambahkan lada bubuk, garam, gula, aduk rata.--Masukkan tempe yang sudah digoreng, aduk rata.--Masukkan buncis beserta potongan cabe rawit dan cabe hijau besar. Aduk rata. Tambahkan air lagi bila terlalu kental.--Apabila buncis sudah agak layu, matikan kompor, angkat dan sajikan di piring, taburi biji wijen di atasnya.--",tempe,tempe,buncis,cabai,bawang merah,bawang putih
oseng tempe kacang panjang,12 helai kacang panjang--1 papah tempe--9 cabe merah--2 siung bawang putih--3 siung bawang merah--Lengkuas (seruas jari di geprek)--1 lembar daun salam--Kecap manis--,"Potong kacang panjang sesuai selera panjang nya--Potong tempe persegi panjang dan tidak tebal--Iris cabe merah, bawang merah, dan bawang putih--Rebus tempe yg sudah di potong sampai hampir empuk--Tumis irisan bawang, cabe, lengkuas, dan daun salam dan berikan gula dan garam secukupnya--Masukkan kacang panjang dan tempe lalu berikan kecap manis secukupnya--Berikan air (saya 1 gelas sedang) dan aduk sampai merata dan matang--",tempe,kacang panjang,tempe,cabai,bawang putih,bawang merah
oseng tempe kacang panjang udang,"1 ikat kacang panjang, potong seukuran korek--1 papan tempe, potong korek & goreng--100 gr udang, buang kepala--5-7 siung bawang merah, iris2--1 siung bawang putih, geprek--5 buah cabe merah, iris serong--1 ruas lengkuas, geprek--2 lembar daun salam--1 sdm gula merah--Secukupnya gula pasir, garam & kaldu bubuk--Secukupnya air--Sedikit minyak utk menumis--","Tumis duo bawang sampai layu & harum. Masukan cabe, lengkuas & daun salam, aduk-aduk.--Masukan udang, masak sampai udang berubah warna. Masukan kacang panjang, aduk-aduk. Tambahkan gula merah dan beri air sedikit.--Masukan tempe, gula pasir, garam & kaldu bubuk. Beri air lagi utk mematangkan kacang panjang, aduk rata. Koreksi rasa.--Masak sampai air agak mengering & kacang panjang matang. Matikan api, angkat & sajikan.--",tempe,kacang panjang,tempe,udang,bawang merah,bawang putih
oseng tempe tahu bakso,1/2 potong Tempe--2 potong Tahu--3 buah Bakso--2 Bawang Merah--1 Bawang Putih--3 Cabe Rawit--1 Cabe Merah--Kecap--Gula Merah--Garam--Masako--,"Potong potong tempe, tahu dan bakso.--Siapkan minyak panas untuk menggoreng terlebih dahuku tempe dan tahu. jangan terlalu kering lalu tiriskan.--Siapkan bumbu, iris bawang merah, bawang putih, cabe rawit, cabe merah dan gula merah potong sedikit.--Siapkan minyak sedikit saja untuk menumis.--Masukan bumbu yang sudah diiris. Tunggu sampai harum, masukan masako secukupnya, garam secukupnya dan kemudian masukan bakso.--Setelah itu masukan tempe dan tahu. Lalu aduk rata. masukan kecap secukupnya dan aduk rata.--Tuangkan sedikit air. Lalu masukan gula merah sedikit saja. aduk rata tunggu hingga matang.--Oseng tempe tahu bakso siap di sajikan! pakai kerupuk sama telor ceplok lebih nikmat--",tempe,tempe,tahu,bakso,bawang merah,bawang putih
oseng tempe tahu buru buru,2 Tahu--1 Bungkus Tempe--2 Cabai Merah--4 Siung Bawang Putih--5 Siung Bawang Merah--1 Lembar Daun Salam--2 cm Lengkuas--2 Sachet Kecap Manis--1 Gelas Air--8 Cabe Rawit (sesuai selera)--Secukupnya gula&garam--,"Panaskan minyak, goreng tahu yg sudah di iris memanjang kemudian goreng tempe.--Sembari menunggu tahu dan tempe matang di goreng, kupas dan iris bawang merah, bawang putih, cabai.--Tumis bawang merah, bawang putih, cabai, daun salam, lengkuas sampai harum--Masukkan tahu dan tempe yang sudah di goreng tadi, tambahkan air dan kecap manis, gula garam secukupnya. Aduk merata biarkan bumbu meresap dan matang.--Sajikan dengan nasi hangat. Selamat makan. Jangan lupa doa dulu sebelum makan--",tempe,tahu,tempe,cabai,bawang putih,bawang merah
oseng udang tahu petai,"100 gr (20 ekor) udang, bersihkan beri perasan air jeruk nipis--2 buah tahu putih, potong menjadi 8 bagian per tahu--1 papan Pete, belah masing-masing menjadi 2 bagian--1/2 siung Bawang Bombay, iris--2 siung Bawang putih, cincang--12 buah Cabai hijau keriting, iris serong--1 ruas jari Laos, geprek--1 lbr daun salam--secukupnya Garam--secukupnya Gula--secukupnya Merica bubuk--secukupnya Penyedap rasa--secukupnya Saori saus tiram--","Goreng tahu, udang, dan Pete secara bergantian, sisihkan--Tumis Bawang putih, Bawang Bombay, Cabai hijau keriting, Laos dan daun salam hingga harum, beri sedikit air--Tambahkan garam, gula, Saori saus tiram, Merica bubuk, dan penyedap rasa secukupnya, koreksi rasa--Masukkan tahu, udang, dan Pete yang telah digoreng, aduk rata, masak hingga air menyusut dan meresap, matikan kompor--Oseng Tahu Udang Pete siap dinikmati--",udang,udang,tahu,petai,bawang bombai,bawang putih
oseng udang tahu tempe,1/4 udang--1 tahu--1 tempe--1 tomat--10 siung bawang merah--5 siung bawang putih--8 cabe--1 bungkus merica bubuk--secukupnya garam--secukupnya penyedap rasa--secukupnya Air--secukupnya Gula--secukupnya Daun bawang--secukupnya Minyak goreng--secukupnya Lengkuas--,"Iris tipis tomat, 8 bawang merah,3 bawang putih, 8 cabe,daun bawang--Haluskan 2 bawang merah,2 bawang putih dan garam--Tempe dan tahu potong dadu lalu goreng setengah matang--Tumis bahan yang telah diiris dan bumbu yang telah dihaluskan,geprek lengkuas lalu masukkan--Masukkan udang, tahu dan tempe--Tambahkan merica bubuk, gula, dan penyedap rasa sesuai selera--Jangan lupa periksa rasa--Tambahkan air secukupnya--Tunggu hingga matang--",udang,udang,tahu,tempe,tomat,bawang merah
oseng wortel telur,"4 batang wortel,potong korek api aga tipis--1 butir telur--5 baso uk. kecil,potong sesuai selera--2 siung bawang merah,iris tipis--1 siung bawang putih,geprek dan diiris tipis--1/2 bungkus kaldu jamur--secukupnya garam--secukupnya air--minyak untuk menumis--","Tumis bawang merah dan bawang putih hingga harum--Masukkan baso yg sudah dipotong2,kemudian masukkan wortel--Tuang air sesuai selera (klo ingin berkuah kasih air aga banyak),sambil diaduk sedikit--Setelah airnya mendidih masukkan telur,oseng2 hingga berbaur telurnya--Beri kaldu jamur,sedikit garam,cek rasa--Cek keempukan wortelnya..klo aku aga lamaan masak nya biar anakku mau makan sayuran--Setelah matang,angkat sajikan dengan nasi hangat..--",telur,wortel,telur,bakso,bawang merah,bawang putih
ote ote bakwan udang,1 bks udang kupas--1 bks kecambah besar--1 bh kol kecil--5 bh bawang merah--4 bh bawang putih--Sejumput ketumbar--Tepung terigu--Garam--Masako ayam--Air--Minyak goreng--,"Siapkan alat dan bahan--Udah kupas di cuci terlebih dahulu--Iris tipis memanjang kol lalu dicuci bersama kecambah tiriskan di wadah--Masukkan juga udang di wadah bersama sayur--Siapkan bumbu, ulek bm, bp, ketumbar, garam hingga halus--Masukkan bumbu ke wadah bahan--Tambahkan tepung dengan menyesuaikan bahan, bisa di kira2 sendiri jgn terlalu encer--Lalu tambahkan air sedikit demi sedikit menyesuaikan bahan--Masukkan jg masako, koreksi rasa sambil terus di aduk hingga rata--Siapkan wajan, dan goreng adonan hingga matang--Tiriskan, siap dihidangkan--",udang,udang,tauge,kubis,bawang merah,bawang putih
pecel sayur tempe mendoan,1 ikat kangkung--Toge--Kol--Kacang panjang--Timun--Bumbu pecel instan--6 buah cabe rawit merah--secukupnya Air panas--Pelengkap :--Bawang goreng--Tempe mendoan--,"Rebus semua sayuran, tp jgn terlalu matang--Ulek bumbu pecel dgn cabe rawit, larutkan dgn air panas--Tata sayuran yg sudah direbus kedalam piring.. Siram dgn bumbu pecel--Taburi bawang goreng & tambahkan tempe mendoan--Simple.. Tapi raos� selamat mencoba--",tempe,kangkung,tauge,kubis,kacang panjang,timun
pelas udang,1 butir kelapa (jangan terlalu tua)--150 gram udang--2 butir telur--5 siung bawang merah--3 siung bawang putih--1 sendok teh ketumbar--1 ruas temu kunci (agak besar)--10 butir cabe rawit--secukupnya Daun salam--secukupnya Garam dan gula--Daun pisang dan tusuk gigi untuk membungkus--,"Haluskan bumbu kecuali cabai, lalu campur semua bahan menjadi satu.--Ambil daun pisang untuk membungkus, sebelum adonan di masukan alasi terlebih dahuli dengan daun salam.--Kemudian ambil dua sendok makan adonan, selipkan satu buah cabe rawit.--Lalu kukus kurang lebih 15-20menit--",udang,kelapa,udang,telur,bawang merah,bawang putih
pepes tahu udang,250 g udang--1 papan tahu--Kelapa muda parut dari 1/2butir kelapa--7 siung bawang merah--5 siung bawang putih--5 biji cabe rawit--1 sdt ketumbar--1 ruas laos--1 ruas kunyit--1 ruas jahe--1 ruas kencur--5 lembar daun jeruk--Ale--2 buah cabe hijau besar--Gula--Garam--Penyedap rasa--Daun pisang--Tusuk gigi--,"Kupas udang dari kepala dan ekornya. Cuci bersih--Iris2 cabe hijau dan ale--Haluskan bawang merah, bawang putih, kunyit, jahe, kencur, laos, cabe dan daun jeruk. Daun jeruk ulek kasar saja.--Campurkan parutan kelapa ke bumbu halus dan beri cabe hijau ale.--Masukkan tahu dan remat2 sampai hancur.--Beri gula, garam dan penyedap rasa.--Urap sampai tercampur rata dan incip rasanya.--Jika sudah pas, panaskan kukusan.--Masukkan pepesan ke daun pisang dan tusuk dgn tusuk gigi.--Lakukan sampai habis dan masukkan kedalam kukusan.--Tunggu krglbh 45mnt.--Pepes udang siap disantapp--",udang,udang,tahu,kelapa,bawang merah,bawang putih
perkedel tahu telur,Tahu putih--3 siung bawang putih--2 siung bawang merah--secukupnya Merica--Garam/masako ayam--2 telur--secukupnya Tepung terigu--Potongan wortel--,Haluskan bumbu. Penyet tahu menggunakan garpu.--Masukan bumbu yg sudah di haluskan beserta potongan wortel. Beri garam/ masako--Masukan satu buah telur dan tepung. Aduk rata. Lalu goreng agak kering. Lalu angkat dan tiriskan--Kemudian kocok telur kasi garam sedikit. Lalu masukan tahu yg sudah di goreng tadi ke dalam kocokan telur tadi. Dan goreng kembali.--Perkedel tahu siap di nikmati. Hangat2 lebih enak di cocol saus sambal--,telur,telur,tahu,wortel,bawang merah,bawang putih
perkedel tempe isi sosis,2 buah tempe--2 buah telur ayam--secukupnya Merica bubuk--Bawang merah--Bawang putih--Garam--Sosis--Tepung roti--Saus untuk bahan pelengkap--,"Potong dan kukus tempe (jangan terlalu lama)--Haluskan bumbu (bawang merah, bawang putih dan garam) kemudian potong sosis sesuai selera--Hancurkan tempe dan tambahkan bumbu yg sudah di haluskan tadi serta 2 buah telur dan merica bubuk secukupnya. Aduk hingga rata--Bentuk adonan sesuai selera kemudian isi dengan sosis--Diamkan adonan beberapa saat, kurang lebih 30 menit (masukan ke dalam kulkas lebih baik)--Gulingkan adonan ke dalam tepung roti lalu goreng ke dalam minyak panas sampai warnanya emas kecoklatan--Angkat dan tiriskan. Hias sesuai selera dan perkedel tempe isi sosis siap di sajikan--",tempe,tempe,sosis,telur,bawang merah,bawang putih
petang tempe kentang balado,2 buah kentang--1/2 papan tempe--Cabe--Bawang merah--Bawang putih--Garam--Minyak goreng--,"Kupas kentang, kemudian cuci dan potong kecil, sisihkan--Potong kecil tempe, sisihkan--Siapkan wajan, dan tuangkan minyak goreng--Jika minyak sudah panas, masukkan kentang dan tempe yang sudah dipotong--Goreng hingga agak kecoklatan, jangan sampai garing--Tiriskan kentang dan tempe yang sudah digoreng--Kupas bawang merah dan bawang putih, kemudian cuci--Cuci cabe, dan tiriskan--Ulek atau blender cabe dan bawang beserta garam untuk membuat sambal--Siapkan wajan dan tuangkan minyak secukupnya, tunggu minyak panas--Masukkan sambal, dan aduk--Setelah agak matang, masukkan kentang dan tempe yang sudah dipotong--Tambahkan garam secukupnya--Masak hingga matang--PeTang balado siap disajikan--",tempe,kentang,tempe,cabai,bawang merah,bawang putih
pindang cimplung udang,Udang 0.5 kg (udang tambak lebih manis)--5 siung Bawang merah--3 siung Bawang putih--1 buah Tomat--secukupnya Garam--3 bh Cabe merah--Sambal terasi sebagai pelengka--,"Didihkan air dalam panci 1 - 1,5 lt.--Potong tipis bawang merah, bawang putih dan cabai. Tomat dibagi 2 saja.--Masukkan bumbu saat mendidih dan masukkan udang yang sdh dicucui bersih. Tdk usah dikupas agar kaldu udang lebih terasa.--Masukkan garam secukupnya. Tunggu sampai matang tiriskan--Buat sambal terasi seperti biasa tambahkan tomat dari cimplung td. Ambil udang dan masukkan ke sambal lalu dipenyet. Apabila suka pete lebih mantap--Selamat mencoba. Bagi penikmat seafood nikmat sekali--",udang,udang,tomat,cabai,bawang merah,bawang putih
pindang tempe,"1 pindang layang (ambil daging nya), bisa diganti udang--1 papan tempe iris tebal 1 cm--1 siung bawang putih, iris tipis--2 siung bawang merah, iris tipis--3 buah tomat ijo (yg belum terlalu matang)--1/2 ruas lengkuas geprek--garam--gula pasir--air--","Ikan pindang, tempe, bawang merah + putih + lengkuas geprek campur jadi 1 di panci (kecuali tomat, garam, gula pasir) beri air sesuai selera dan sesuaikan jumlah bahan ya mom--Rebus sampai mendidih, beri garam, gula pasir tes rasa. Masak sampai tempe matang, masukkan tomat, biarkan mendidih kembali.--Matikan api, sajikan dg nasi putih, segar nya--",tempe,udang,tempe,tomat,bawang merah,bawang putih
pindang udang,500 gr udang--7 buah bawang merah--2 buah bawang putih--3 buah cabe merah--2 cm jahe geprek--8 buah cabe rawit--2 helai daun salam--2 cm kunyit--Stngah sendok gula merah--1 sdm air asam jawa--2 buah tomat potong--2 buah cabe hijau potong serong--secukupnya Penyedap & garam--2 btng daun bawang potong serong--Laos di geprek--,"Bersihkan udang, cuci hingga bersih--Haluskan cabe merah, bawang putih, bawang merah, kunyit, gula merah.--Tumis bumbu halus, jahe & laos geprek, daun salam kemudian beri air -+ 800 ml tunggu mendidih masukan udang--Beri air asam, masukan tomat potong, cabe ijo iris,daun bawang,rawit,beri penyedap & garam.--",udang,udang,cabai,tomat,bawang merah,bawang putih
pizza mie telur saus bolognais,1 bungkus mi telur (2 mi dari 3 mi yg ada dlm kemasan)--3 butir telur ayam--Bakso sapi matang--2 siung bawang putih--2 siung bawang merah--2 butir kemiri--secukupnya Garam--secukupnya Merica bubuk--secukupnya Royco--Daun bawang--Air--Minyak goreng--Kecap manis--Saos bolognais--Cabe merah besar/rawit (optional)--Keju cheddar--,"Rebus mi telur dalam air mendidih (campur sedikit minyak goreng dalam air rebusan) hingga setengah matang, kemudian tiriskan, tambahkan kecap manis secukupnya, dicampur hingga merata--Haluskan bawang merah, bawang putih, kemiri, kemudian tumis dengan sedikit minyak hingga harum, sisihkan--Siapkan wadah, kocok telur, masukkan daun bawang dan cabe yg telah dirajang (diiris), masukkan bumbu yg ditumis tadi, merica bubuk, garam, royco, mi yang sudah dicampur kecap. Campur hingga merata. Sementara itu iris tipis-bulat bakso sapi yg sebelumnya sudah direbus.--Panaskan teflon dg sedikit minyak, goreng adonan dengan api kecil, setelah kecoklatan di satu sisi, balik adonan tersebut, matikan api (cheat: jika sulit membalik adonan dpt menggunakan teflon lain. Jadi adonan ditumpahkan di teflon lain). Oles tipis di atasnya dengan saos bolognais, tata irisan bakso diatasnya. Tambahkan saos bolognais di sela2 bakso agar makin melekat. Taburi keju di atasnya. Tutup teflon dan nyalakan kompor dengan api kecil hingga matang.--Siap dihidangkan--",telur,mie,telur,bakso,bawang putih,bawang merah
resep daun singkong tabur,"250 gr daun singkong muda, rebus dengan setengah sdt soda kue, peras, iris tipis--5 bh tahu cokelat, iris tipis bentuk kotak--1/2 sdt terasi bakar--Garam secukupnya--Merica secukupnya--2 sdm air asam jawa--Minyak goreng secukupnya--100 ml air--1 bks Masako Rasa Sapi-Bumbu iris:--6 siung bawang merah--4 siung bawang putih--5 bh cabai merah keriting--6 lbr daun jeruk--3 btg serai, ambil bagian putihnya","Larutkan 1/2 bks Masako Rasa Sapi dalam 100 ml air, tambahkan garam dan merica. Rendam tahu selama 15 menit. Tiriskan. Goreng hingga kering. Sisihkan.Tumis bawang merah dan bawang putih dengan 5 sdm minyak goreng. Masukkan gula merah dan sisa irisan bumbu.Masukkan daun singkong, terasi, 100 ml air, air asam jawa, sisa Masako Rasa Sapi, serta garam dan merica, aduk rata. Angkat. Taburi dengan tahu goreng. Sajikan.",sayur,daun singkong,tahu,cabai,bawang merah,bawang putih
